Ref No.;Full citation (APA);Person working on it;Abs Justification; Include/Exclude Abstract; Include/Exclude Full;Full txt Justification;Habitat;Habitat_old;Species (Genus);Species (Latin name, first letter capital, e.g. Zostera marina);Focus;Setting;Type of Data;Region according to HELCOM;Latitude;Longitude;Notes (Region);Time scale;Start Year;End Year;Duration;Pressures;Pressures2;Details on Pressures;Effect of Pressures;Effect direction of Pressures;Type of Ecosystem Service;Specify Service;Service details;Describe Service;Are ES Monetary?;Type of Non-Monetary Value;Type of Monetary Value;Monetary Method used;Specific Method (Non-Monetary and Monetary);Specific Unit (Non-Monetary and Monetary);NOTES;Economic Scoring System;Type of Effect on Economy;Natural Scoring System;Type of Effect on Nature;Human Scoring System;Type of Effect on Human;Social Scoring System;Type of Effect on Society;Interaction with other ES;NOTES;Language of Literature;Quality Assessment (0 (bad) - 5 (good));Criterion Used;Value of Criterion;Number of Replicates;NOTES
982;Lotze, H. K., Worm, B., & Sommer, U. (2000). Propagule banks, herbivory and nutrient supply control population development and dominance patterns in macroalgal blooms. Oikos, 89(1), 46?58. https://doi.org/10.1034/j.1600-0706.2000.890106.x;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Enteromorpha;Enteromorpha intestinalis;effect of nutrients herbivores and algal propagule on two dominant macroalgae;Field;Experiment;Bay of Mecklenburg;;;;Present;2000;2000;1;None;None;;;;Supporting;Provisioning habitat;Habitat;herbivore density;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;<0.01;NA;
1010;Persson, A., Ljungberg, P., Andersson, M., G”tzman, E., & Nilsson, P. (2012). Foraging performance of juvenile Atlantic cod Gadus morhua and profitability of coastal habitats. Marine Ecology Progress Series, 456, 245?253. https://doi.org/10.3354/meps09705;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;examining behaviour of atlantic cod and habitat suitability;Field;Experimental & Observational;The Sound;;;;Present;2012;2012;1;None;None;;;;Supporting;Provisioning habitat;Habitat;habitat profitability/ resource denisty;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.01;8;
1038;R†berg, S., & Kautsky, L. (2007). A comparative biodiversity study of the associated fauna of perennial fucoids and filamentous algae. Estuarine, Coastal and Shelf Science, 73(1?2), 249?258. https://doi.org/10.1016/j.ecss.2007.01.005;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus radicans;Comparing biodiversity;Field;Observational;Bothnian Sea;63,433;19,417;;Present;2007;2007;1;None;None;;;;Supporting;Provisioning habitat;Habitat;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;0,005;30;
1038;R†berg, S., & Kautsky, L. (2007). A comparative biodiversity study of the associated fauna of perennial fucoids and filamentous algae. Estuarine, Coastal and Shelf Science, 73(1?2), 249?258. https://doi.org/10.1016/j.ecss.2007.01.005;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;Comparing biodiversity;Field;Observational;Northern Baltic Proper;58,817;19,65;;Present;2007;2007;1;None;None;;;;Supporting;Provisioning habitat;Habitat;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;>0.05;30;
1045;Bostr”m, C., & Bonsdorff, E. (1997). Community structure and spatial variation of benthic invertebrates associated with Zostera marina (L.) beds in the northern Baltic Sea. Journal of Sea Research, 37(1?2), 153?166. https://doi.org/10.1016/s1385-1101(96)00007-x;Reviewer 2;;Include;Include;;Seagrass;Seagrass;Zostera;Zostera marina;Community structure of benthic invert associated with Zostera;Field;Observational;Aland Sea;;;;Present;1997;1997;1;None;None;;;;Supporting;Provisioning habitat;Habitat;number and density of invertebrates;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.01;120;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Tolypella;Tolypella nidifica;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Stuckenia;Stuckenia pectinata;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Myriophyllum;Myriophyllum spicatum;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Chara;Chara connivens;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Chara;Chara canescens;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Chara;Chara baltica;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Chara;Chara aspera;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Seagrass;Other Angiosperms;Zannichellia;Zannichellia palustris;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Seagrass;Other Angiosperms;Ruppia;Ruppia maritima;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Seagrass;Other Angiosperms;Potamogeton;Potamogeton perfoliatus;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1080;Herkl, K., Torn, K., & M”ller, T. (2017). The environmental niche separation between charophytes and angiosperms in the northern Baltic Sea. Botany Letters, 165(1), 115?127. https://doi.org/10.1080/23818107.2017.1399824;Reviewer 2;;Include;Include;;Seagrass;Seagrass;Zostera;Zostera marina;Environmental nuiche separation of macroalgae;Computational;Modelling;Baltic Sea wide;;;;Present;2018;2018;1;OTHER (make notes);Multiple stressors;Varioous environmental variables;The effect of envir variables on species presence absence;NA;Supporting;Provisioning habitat;Habitat;species presence absence;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.01;NA;
1176;Herkl, K., & Kotta, J. (2009). Effects of eelgrass(Zostera marina)canopy removal and sediment addition on sediment characteristics and benthic communities in the Northern Baltic Sea. Marine Ecology, 30, 74?82. https://doi.org/10.1111/j.1439-0485.2009.00307.x;Reviewer 2;;Include;Include;;Seagrass;Seagrass;Zostera;Zostera marina;effect of canopy removal on sediment characteristics and benthic communities;Field;Experiment;Gulf of Finland;;;;Present;2006;2006;1;None;None;;;;Supporting;Provisioning habitat;Habitat;abundance of associated macrofauna;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;<0.01;3;
1219;W?odarska-Kowalczuk, M., Jankowska, E., Kotwicki, L., & Balazy, P. (2014). Evidence of Season-Dependency in Vegetation Effects on Macrofauna in Temperate Seagrass Meadows (Baltic Sea). PLoS ONE, 9(7), e100788. https://doi.org/10.1371/journal.pone.0100788;Reviewer 2;;Include;Include;;Seagrass;Seagrass;Zostera;Zostera marina;richness of associated macrofauna;Field;Observational;Gdansk Basin;;;;Present;2014;2014;1;None;None;;;;Supporting;Provisioning habitat;Habitat;no. sp  per sample;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;OTHER (make notes);;;count
1239;Arroyo, N. L., Aarnio, K., & Bonsdorff, E. (2006). Drifting Algae as a means of Re-Colonizing Defaunated Sediments in the Baltic Sea. A Short-Term Microcosm Study. Hydrobiologia, 554(1), 83?95. https://doi.org/10.1007/s10750-005-1008-5;Reviewer 3;macroalgae and invertebrates, supporting;Include;Include;Macroalgal mats as alternative habitat, escape way in cases of severe hypoxia or anoxia;Macroalgae;Macroalgae;algal mats;algal mats;macro- and meiofauna inhabiting or being transported by naturally occurring drifting algal mats;Lab;Experiment;Aland Sea;60,283;19,817;;Present;2002;2002;1;None;None;;;;Supporting;Provisioning habitat;Habitat;alternative habitat;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;< 0.05;5;
1253;Bergmann, N., Winters, G., Rauch, G., Eizaguirre, C., Gu, J., Nelle, P., ... & Reusch, T. B. (2010). Population?specificity of heat stress gene induction in northern and southern eelgrass Zostera marina populations under simulated global warming. Molecular Ecology, 19(14), 2870-2883. https://doi.org/10.1111/j.1365-294x.2010.04731.x;Reviewer 3;seagrass meadows, climate change, regulating, supporting;Include;Include;Z. Marina under climate change simulation;Seagrass;Seagrass;Zostera;Zostera marina;gene expression under experimentally induced heat stress;Lab;Experiment;Great Belt;56,2139;10,6181;Aarhus bight;Present;2008;2008;1;Temperature;Temperature;water temperature 26 C,  to resemble the 2003 summer heat wave situation;shoot loss during the heat wave;negative;Supporting;Provisioning habitat;Habitat;eelgrass community as habitat and spawnign ground provider;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;< 0.05;NA;
1258;Kolb, G., Ekholm, J., & Hamb„ck, P. (2010). Effects of seabird nesting colonies on algae and aquatic invertebrates in coastal waters. Marine Ecology Progress Series, 417, 287?300. https://doi.org/10.3354/meps08791;Reviewer 3;Fucus, nutrient input, supporting, regulating;Include;Include;Fucus survival near nutrients runoffs ;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;tested if the ratio of epiphytic algae to Fucus was increased near cormorant islands;Field;Observational;Northern Baltic Proper;;;Stockholm archipelago;Present;2007;2008;2;Nutrients;Nutrients;"""natural"" nutrients concentrations around cormorant breeding islands";Fucus growing near cormorant islands with high nest density had 64% more epiphytic algae than Fucus nearby reference islands;NA;Supporting;Provisioning habitat;Habitat;Fucus affected by the nutrients from cormorants islands, more epiphytic algae;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;;;3;
1261;Reusch, T. (1998). Differing effects of eelgrass Zostera marina on recruitment and growth of associated blue mussels Mytilus edulis. Marine Ecology Progress Series, 167, 149?153. https://doi.org/10.3354/meps167149;Reviewer 3;Z. Marina and Mytilus, regulating, supporting;Include;Include;eelgrass habitat impacts positively mytilus growth;Seagrass;Seagrass;Zostera;Zostera marina;assessing the effects of eelgrass on recruitment rates and individual growth of blue mussels Mytilus edulis.;Field;Experimental & Observational;Kiel Bay;54,6833;10;;Present;1997;1997;1;None;None;;;;Supporting;Provisioning habitat;Habitat;Mytilus recruitment rates approximately doubled inside the vegetation of Zostera;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;< 0.05;;
1328;Salovius, S., & Kraufvelin, P. (2004). The filamentous green algaCladophora glomerataas a habitat for littoral macro-fauna in the Northern Baltic Sea. Ophelia, 58(2), 65?78. https://doi.org/10.1080/00785326.2004.10410214;Reviewer 3;Macroalgae (Cladophora), supporting, regulating service;Include;Include;Cladophora glomerata as a habitat for littoral macro-fauna;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;as a habitat for littoral macro-fauna;Field;Experimental & Observational;Aland Sea;59,9175;22,33556;outer Archipelago Sea;Present;1999;1999;1;None;None;;;;Supporting;Provisioning habitat;Habitat;attached and loose-lying Cladophora as habitat for invertebrates;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;< 0.05;3;significant Location x Time interaction for I. baltica as well as a significant Location x Algae x Time interaction for M. edulis
1328;Salovius, S., & Kraufvelin, P. (2004). The filamentous green algaCladophora glomerataas a habitat for littoral macro-fauna in the Northern Baltic Sea. Ophelia, 58(2), 65?78. https://doi.org/10.1080/00785326.2004.10410214;Reviewer 3;Macroalgae (Cladophora), supporting, regulating service;Include;Include;Cladophora glomerata as a habitat for littoral macro-fauna;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;as a habitat for littoral macro-fauna;Lab;Experimental & Observational;Aland Sea;59,9175;22,33556;outer Archipelago Sea;Present;1999;1999;1;None;None;;;;Supporting;Provisioning habitat;Habitat;attached and loose-lying Cladophora as habitat for invertebrates;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;< 0.001;3;differences between attached and drifting algae for both abundance and biomass
1355;Persson, L.-E. (1999). Growth and Reproduction in Two Brackish Water Populations of Orchestia gammarellus (Amphipoda: Talitridae) in the Baltic Sea. Journal of Crustacean Biology, 19(1), 53. https://doi.org/10.2307/1549546;Reviewer 3;Fucus and Zostera habitats, supporting;Include;Include;Fucus and zostera habitats impact on Orchestia gammarellus growth rate;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;Fucus and zostera habitats impact on Orchestia gammarellus growth rate;Field;Observational;Western Gotland Basin;56,66917;16,38944;Kalmar Sound;Present;1991;1992;2;None;None;;;;Supporting;Provisioning habitat;Habitat;overwintering Orchestia gammarellus animals were significantly larger in beds of Fucus.;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;R-squared;>0.7;NA;
1355;Persson, L.-E. (1999). Growth and Reproduction in Two Brackish Water Populations of Orchestia gammarellus (Amphipoda: Talitridae) in the Baltic Sea. Journal of Crustacean Biology, 19(1), 53. https://doi.org/10.2307/1549546;Reviewer 3;Fucus and Zostera habitats, supporting;Include;Include;Fucus and zostera habitats impact on Orchestia gammarellus growth rate;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;Fucus and zostera habitats impact on Orchestia gammarellus growth rate;Field;Observational;Western Gotland Basin;56,66917;16,38944;Kalmar Sound;Present;1991;1992;2;None;None;;;;Supporting;Provisioning habitat;Habitat;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;R-squared;>0.7;NA;
1355;Persson, L.-E. (1999). Growth and Reproduction in Two Brackish Water Populations of Orchestia gammarellus (Amphipoda: Talitridae) in the Baltic Sea. Journal of Crustacean Biology, 19(1), 53. https://doi.org/10.2307/1549546;Reviewer 3;Fucus and Zostera habitats, supporting;Include;Include;Fucus and zostera habitats impact on Orchestia gammarellus growth rate;Seagrass;Seagrass;Zostera;Zostera marina;Fucus and zostera habitats impact on Orchestia gammarellus growth rate;Field;Observational;Western Gotland Basin;56,6425;;Kalmar Sound;Present;1991;1992;2;None;None;;;;Supporting;Provisioning habitat;Habitat;Orchestia gammarellus growth rate of the summer generation was significantly higher in beds of Zostera;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;< 0.05;NA;
1355;Persson, L.-E. (1999). Growth and Reproduction in Two Brackish Water Populations of Orchestia gammarellus (Amphipoda: Talitridae) in the Baltic Sea. Journal of Crustacean Biology, 19(1), 53. https://doi.org/10.2307/1549546;Reviewer 3;Fucus and Zostera habitats, supporting;Include;Include;Fucus and zostera habitats impact on Orchestia gammarellus growth rate;Seagrass;Seagrass;Zostera;Zostera marina;Fucus and zostera habitats impact on Orchestia gammarellus growth rate;Field;Observational;Western Gotland Basin;56,6425;;Kalmar Sound;Present;1991;1992;2;None;None;;;;Supporting;Provisioning habitat;Habitat;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;< 0.05;NA;
1493;Bostr”m, C., & Bonsdorff, E. (2000). Zoobenthic community establishment and habitat complexity-the importance of seagrass shoot-density, morphology and physical disturbance for faunal recruitment. Marine Ecology Progress Series, 205, 123?138. https://doi.org/10.3354/meps205123;Reviewer 3;Seagrass meadows as supporting other species, supporting, regulating, cultural;Include;Include;seagrass meadows importance for zoobenthic colonization and community development;Seagrass;Other Angiosperms;Ruppia;Ruppia maritima;To study the importance of seagrass meadows for zoobenthic colonization and community development;Field;Experimental & Observational;Aland Sea;60,16667;20,53333;Hinderbengtsviken, Ecker”;Present;1996;1997;2;None;None;;;;Supporting;Provisioning habitat;Habitat;provide habitat;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;< 0.06;5;ANOVA , Student-Newman-Keuls (SNK) test.
1493;Bostr”m, C., & Bonsdorff, E. (2000). Zoobenthic community establishment and habitat complexity-the importance of seagrass shoot-density, morphology and physical disturbance for faunal recruitment. Marine Ecology Progress Series, 205, 123?138. https://doi.org/10.3354/meps205123;Reviewer 3;Seagrass meadows as supporting other species, supporting, regulating, cultural;Include;Include;seagrass meadows importance for zoobenthic colonization and community development;Seagrass;Seagrass;Zostera;Zostera marina;To study the importance of seagrass meadows for zoobenthic colonization and community development;Field;Experimental & Observational;Aland Sea;60,16667;20,53333;Hinderbengtsviken, Ecker”;Present;1996;1997;2;None;None;;;;Supporting;Provisioning habitat;Habitat;provide habitat;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;< 0.05;5;ANOVA , Student-Newman-Keuls (SNK) test.
1559;Kotta, J., & Orav, H. (2001, January). Role of benthic macroalgae in regulating macrozoobenthic assemblages in the V„inameri (north-eastern Baltic Sea). In Annales Zoologici Fennici (pp. 163-171). Finnish Zoological and Botanical Publishing Board.;Reviewer 3;Furcellaria, supporting system?;Include;Include;loose-lying Furcellaria as secondary substrate for hard bottom invertebrates;Macroalgae;Macroalgae;Furcellaria;Furcellaria lumbricalis;provide relavant information for conservation and management of benthic ;Field;Observational;Gulf of Riga;;;V„inameri, Kassari Bay;Present;1995;1995;1;None;None;;;;Supporting;Provisioning habitat;Habitat;habitat for Marenzelleria viridis, increasing polyhaete biomass;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;< 0.05;NA;
1627;D¡az, E., Erlandsson, J., Westerbom, M., & Kraufvelin, P. (2015). Depth-related spatial patterns of sublittoral blue mussel beds and their associated macrofaunal diversity revealed by geostatistical analyses. Marine Ecology Progress Series, 540, 121?134. https://doi.org/10.3354/meps11461;Reviewer 3;Mytilus and macrofauna diversity, supporting;Include;Include;Mytilus patches support higher species diversity in deeper areas;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;"spatial patchiness of blue mussels and the diversity of associated macrofauna
";Field;Observational;Gulf of Finland;;;;Present;2008;2008;1;None;None;;;;Supporting;Provisioning habitat;Habitat;habitat for the associated species in greater depths;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;< 0.05;13;
1633;Gustafsson, C., & Bostr”m, C. (2009). Effects of plant species richness and composition on epifaunal colonization in brackish water angiosperm communities. Journal of Experimental Marine Biology and Ecology, 382(1), 8?17. https://doi.org/10.1016/j.jembe.2009.10.013;Reviewer 3;macroalgae as habitats, supporting?;Include;Include;plant diversity influences ecosystem processes and higher trophic levels;Seagrass;Other Angiosperms;Potamogeton;Potamogeton pectinatus;how plant richness and composition influence recruitment and colonization processes;Field;Experimental & Observational;Western Gotland Basin;59,9775;21,98083;F†r” Island;Present;2007;2007;1;None;None;;;;Supporting;Provisioning habitat;Habitat;on a species level the epifaunal abundance and biomass were controlled by plant composition and not richness;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;R-squared;;5;
1633;Gustafsson, C., & Bostr”m, C. (2009). Effects of plant species richness and composition on epifaunal colonization in brackish water angiosperm communities. Journal of Experimental Marine Biology and Ecology, 382(1), 8?17. https://doi.org/10.1016/j.jembe.2009.10.013;Reviewer 3;macroalgae as habitats, supporting?;Include;Include;plant diversity influences ecosystem processes and higher trophic levels;Seagrass;Other Angiosperms;Potamogeton;Potamogeton perfoliatus;how plant richness and composition influence recruitment and colonization processes;Field;Experimental & Observational;Western Gotland Basin;59,9775;21,98083;F†r” Island;Present;2007;2007;1;None;None;;;;Supporting;Provisioning habitat;Habitat;Gammarus spp. abundance and biomass were higher ;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;;;5;
1633;Gustafsson, C., & Bostr”m, C. (2009). Effects of plant species richness and composition on epifaunal colonization in brackish water angiosperm communities. Journal of Experimental Marine Biology and Ecology, 382(1), 8?17. https://doi.org/10.1016/j.jembe.2009.10.013;Reviewer 3;macroalgae as habitats, supporting?;Include;Include;plant diversity influences ecosystem processes and higher trophic levels;Seagrass;Other Angiosperms;Potamogeton;Potamogeton pectinatus;how plant richness and composition influence recruitment and colonization processes;Field;Experimental & Observational;Western Gotland Basin;59,9775;21,98083;F†r” Island;Present;2007;2007;1;None;None;;;;Supporting;Provisioning habitat;Habitat;on a species level the epifaunal abundance and biomass were controlled by plant composition and not richness;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;R-squared;;5;
1633;Gustafsson, C., & Bostr”m, C. (2009). Effects of plant species richness and composition on epifaunal colonization in brackish water angiosperm communities. Journal of Experimental Marine Biology and Ecology, 382(1), 8?17. https://doi.org/10.1016/j.jembe.2009.10.013;Reviewer 3;macroalgae as habitats, supporting?;Include;Include;plant diversity influences ecosystem processes and higher trophic levels;Seagrass;Seagrass;Zostera;Zostera marina;how plant richness and composition influence recruitment and colonization processes;Field;Experimental & Observational;Western Gotland Basin;59,9775;21,98083;F†r” Island;Present;2007;2007;1;None;None;;;;Supporting;Provisioning habitat;Habitat;on a species level the epifaunal abundance and biomass were controlled by plant composition and not richness;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;< 0.05;5;
